sensor_id;sensor_type;location;lat;lon;timestamp;P1;P2;P0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:34:30;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:34:36;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:37:36;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:37:42;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:40:42;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:40:48;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:43:48;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:43:54;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:46:55;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:47:00;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:50:07;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:50:13;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:53:16;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:53:22;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:56:22;2;2;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:56:28;2;2;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:59:28;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T05:59:34;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:02:35;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:02:41;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:05:41;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:05:47;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:08:47;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:08:53;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:11:53;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:11:59;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:14:59;1;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:15:06;1;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:18:06;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:18:14;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:21:19;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:21:25;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:24:26;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:24:31;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:27:32;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:27:39;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:30:40;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:30:46;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:33:46;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:33:52;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:36:52;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:36:58;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:39:58;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:40:04;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:43:04;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:43:12;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:46:12;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:46:18;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:49:22;1;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:49:28;1;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:52:28;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:52:34;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:55:34;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:55:40;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:58:40;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T06:58:46;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:01:46;0;0;0
